::Stocker ::KappelS91 
::HarrisonD92 ::Represented 
::Matrix ::Rong 
::456 ::Kahn 
::15310323 ::ssdbm 
::WeisN06 ::1083 
::Trajectories ::leeuwen90 
::computer ::HirataHTK96 
::Fudos ::Xuqing 
::Overcoming ::RoussopoulosK86 
::1628 ::Mauroux 
::15310453 ::Simplicity 
::Gang ::AhmadN08 
::411 ::48 
::114 ::Petko 
::Fukuda ::Lam 
::Ifrim ::Antony 
::61 ::Hendrik 
::Houle ::Rinderle 
::Kanne ::Pekka 
::Liao ::Haslam 
::ZhouOTY06 ::Friedman 
::WhangLLKH05 ::Wavelets 
::Bonifati ::Zhiming 
::RDBMSs ::From 
::Lun ::Antoshenkov92 
::1349 ::LeeCLNS94 
::RyvkinaMCZ06 ::Zhaohui 
::550 ::Yiming 
::StearnsR81 ::icdcs 
::PitouraT08 ::440 
::Shen ::Linear 
::jodl ::inproceedings 
::Mikkel ::Hakan 
::1405 ::ISOMER 
::351 ::Ailamaki05 
::Salem ::Bassiouni85 
::Cobena ::FlescaFG02 
::Polyzotis ::Dinesh 
::DongDong ::Protection 
::Vikas ::AnwarMC93 
::Taylor ::GruenwaldBP06 
::Apurva ::Tsukamoto 
::DesphandeGMH05 ::Koki 
::Srilekha ::Arjen 
::533 ::Autonomy 
::483 ::623 
::Gabriel ::Duality 
::10010071abs ::BryCDFOS05 
::Sotiris ::Park 
::Jeonghee ::MAPLE 
::LangOS97 ::Hon 
::Pontieri ::Cunningham 
::Afanasiev ::1141 
::1599 ::Hyun 
::RotemZ95 ::Palakal 
::Iwen ::ChandelNS06 
::Haritsa ::209 
::Build ::BunemanCFHMV05 
::Engines ::22850767abs 
::Error ::Mikhail 
::SimitsisVS05 ::bc 
::Commit ::Leong 
::4497457 ::Donghui 
::Puniyani ::Dragut 
::Farfn ::Stanislav 
::111 ::FriedmanBF77 
::Roger ::22851001abs 
::972 ::Ludscher 
::Joon ::KoblerBCH95 
::Haejoong ::22850057abs 
::4497625 ::Spyratos 
::Liangzhong ::117 
::William ::22851113 
::FriedmanBF77 ::kim95 
::BargaLW02 ::AslandoganTYZR97 
::Assurance ::Dictionary 
::Ivanova ::914846 
::Inputs ::Machine 
::SteenhagenBB96 ::Chang82 
::Paton ::DBMS 
::BonifatiBCC02 ::MarcusS96 
::FerlezFLMG08 ::22 
::SnodgrassA86 ::Objective 
::PiatetskyF91 ::Madden 
::Merging ::HolsheimerKMT95 
::BerchtoldBKK97 ::425 
::1132 ::P412 
::Footprint ::Structure 
::Operators ::QiaoIAA06 
::Officers ::IshikawaIKH92 
::Cyclic ::Stella 
::Brown ::Teixeira 
::AbiteboulMP05 ::484 
::Actionable ::Paloscia 
::Influence ::ChenDER05 
::Lomet93 ::LangOS97 
::DeWittKOSSW84 ::Timely 
::ChawatheGHPUW94 ::Page 
::Reichert ::Improving 
::Kyu ::1325 
::Jermaine ::502 
::Gamper ::ZhangOAI06 
::Khaled ::Jagrati 
::Result ::Leung 
::Zhiming ::Community 
::Wiederhold93 ::4497472 
::Molina08 ::Spatscheck 
::Spiros ::LeeLL06 
::RantzauM06 ::1528 
::ZhangAO05 ::Grid 
::502 ::GoelSYZ02 
::Ziv ::KriegelKKRS08 
::Ziyang ::Decomposition 
::Role ::Oracle 
::Transactions ::Freksa92 
::Castro ::Megalooikonomou 
::Winter ::Wichterich 
::Wilfred ::CareyHMW96 
::Dao ::1515 
::Similar ::aw 
::Angela ::Panayiotis 
::4497449 ::Gting 
::ShimSA97 ::FarragO89 
::NussbaumerPSS95 ::Robust 
::982 ::1382 
::914862 ::4497484 
::1372 ::Willis 
::BalkeNST05 ::Jinze 
::Star ::Junmei 
::Merging ::FAST 
::15310268 ::Assessment 
::Gruenwald ::Khaitan 
::GeZ08 ::Guha 
::Warehouses ::Incremental 
::Konrad ::Mudumbai 
::PatonDWCDJ93 ::Bhavani 
::Mirco ::VBI 
::4497562 ::4497437 
::Yifeng ::1611 
::Muhammad ::KilgerM94 
::Atzeni ::Nan 
::Aliekber ::Walk 
::Xiaolei ::Compliance 
::DeFazio ::Gen 
::Raghav ::Mazza 
::Yoshizawa ::GounarisPSFSW06 
::e ::Policies 
::Corpus ::ieeecomputersociety 
::Subscribe ::32 
::Weaver ::Shaull 
::421 ::4497397 
::Farrell ::Q 
::Rene ::CareyL91 
::ShaullSX08 ::MOOLAP 
::22850958abs ::4497438 
::1607 ::Santos 
::Hybrid ::cp 
::SeshadriLR94 ::RamanSQRDKNS08 
::Diego ::Tanin 
::Ljosa ::Lead 
::MeoPC98 ::Greedy 
::Michael ::Learning 
::Annita ::Learning 
::Midflight ::4497506 
::Aoying ::15310201abs 
::1124 ::1145 
::Subrahmanian ::BrinkhoffKS93 
::4497459 ::Xiaojin 
::Against ::1129 
::Malik ::1328 
::Units ::GrustKGHS97 
::HibinoR96 ::832 
::OntoWebber ::Baker 
::Laws ::15310555abs 
::KimP88 ::Skylines 
::41 ::Neeraj 
::KiferKS92 ::Wilschut 
::Smodels ::Spatial 
::1130 ::DuS82 
::Braynard ::Dinh 
::380 ::Hambrusch 
::icml ::15310117abs 
::P466 ::Lupu 
::Indrajit ::Jae 
::Tryfona ::Orchid 
::BerchtoldBK98 ::Qiong 
::Cost ::Kreutz 
::BernsteinGW93 ::1354 
::Ong ::Mikhail 
::Kersten08 ::Ong 
::ONeilOW93 ::Victor 
::Samaras ::KhaYU01 
::P076 ::Ullman97 
::1112 ::Mummoorthy 
::Shahan ::Training 
::Vilhuber ::AggarwalY08b 
::Weis ::Major 
::Rate ::Reorganize 
::OomotoT93 ::Watzke 
::OSSM ::networks 
::Latent ::Toward 
::Lisa ::Sebastian 
::PattersonBA08 ::ChandelNS06 
::tse ::WangRM06 
::MoerkotteN08 ::1121 
::BravoFGM08 ::Xiaodan 
::pods ::1346 
::Ippokratis ::Passing 
::Knig ::Reporting 
::SaltonWY75 ::249 
::15310492 ::VeeSSBA08 
::X06 ::159 
::Outstanding ::P297 
::Earl ::22850594abs 
::Luping ::Lakshmanan 
::Cooperative ::Reynold 
::CosmadakisKV90 ::BaralisCMPRR97 
::Ramaswamy ::Lizhu 
::On ::Networks 
::BlockeelCFGP08 ::BatiniL86 
::4497590 ::4497561 
::Hierarchies ::Down 
::4497453 ::843 
::Hideo ::1403 
::TAILOR ::LindsayMP87 
::Dyreson96 ::Ali 
::1396 ::1607 
::793 ::Skew 
::1518 ::Mittal 
::Chengyu ::Thomas 
::BabuDM08 ::4497615 
::ShalemB08 ::SherkatR06 
::903 ::914847 
::YiN05 ::ChaudhuriNR08 
::el ::Strategies 
::623 ::Diversity 
::Hae ::Warehousing 
::914865 ::Optimal 
::Ashish ::Equi 
::Sharing ::Memory 
::Intelligent ::LiuL02 
::Lists ::Aziz 
::Yalamanchi ::CARE 
::Vaupel ::KanoulasDXZ06 
::NabeelB08 ::Ntoulas 
::Lomet92 ::MorishimaNISK08 
::JermaineO02 ::Tomasic 
::1110 ::Salt 
::376 ::P550 
::Vu ::MohanN91 
::Interpretation ::Zhu 
::Usama ::ADT 
::15310403abs ::LevyRO96 
::575 ::Gyllstrom 
::Nagendra ::Analytical 
::586 ::Palios 
::BeckmannKSS90 ::Mema 
::Aggarwal02 ::TianP08 
::Baral ::Aameek 
::15310393abs ::Arno 
::Siberski ::Kashyap 
::Hsu95 ::15310297abs 
::151 ::Samet 
::Sources ::Ivanova 
::Geerts ::Kishiko 
::FLAME ::Mummoorthy 
::P284 ::Privately 
::Sensitive ::Jennifer 
::ChonAA02 ::4497457 
::Hideo ::Rogers 
::Pin ::Quang 
::198 ::Mangold 
::28 ::4497471 
::Quan ::Analysis 
::mash ::Megalooikonomou 
::KamelF93 ::Mourad96 
::790 ::914834 
::Kim95 ::Yibei 
::KasneciSIRW08 ::4497431 
::503 ::435 
::Yue ::XQSE 
::Modern ::ORDBMS 
::535 ::Xingquan 
::LianC08 ::Developing 
::User ::Dmitry 
::22850094abs ::39 
::Ira ::Harold 
::SpaceTwist ::Louiqa 
::P412 ::Antti 
::Sichun ::Arnab 
::Inflationary ::ChenJKKMNS01 
::Ilyas ::SteenhagenABB94 
::Recommendation ::Basket 
::Secure ::Yipu 
::Salka ::Apurva 
::Mengzhi ::Bentley80 
::BrunoGM02 ::Lai 
::ChungGS02 ::ChenOR08 
::22850357 ::Bloom70 
::595 ::Jianlin 
::Tian ::Kimutai 
::Aboulnaga ::Stonebraker86 
::Ishikawa ::PeiHPCDH01 
::BlaumBBM94 ::Thomsen 
::1100 ::Nimrod 
::Alpa ::Ad 
::73 ::Rogers 
::Felix ::4497501 
::353 ::Uemura 
::Object ::MolinaS87 
::Influence ::Mohan 
::IR ::Feltes 
::Muse ::Sharad 
::Atallah ::Krishnapuram 
::ZhaoDN97 ::Bases 
::Edmunds ::XinSHL06 
::640 ::1115 
::Mark ::BalkeNST05 
::Traceability ::Spiros 
::Changes ::Diverse 
::Future ::1596 
::Gabber ::BonifatiBCC02 
::HeinemanK97 ::Lei 
::Barzan ::Wayfinder 
::Davidson ::Searching 
::Mourad ::481 
::Shi ::15310463abs 
::342 ::Serge 
::tm ::Managing 
::Nejdl ::WeisN06 
::ChaudhuriNS02 ::Stahl 
::607 ::104 
::Ryan ::Huaiyu 
::Thuraisingham ::ShethR93 
::4497459 ::39 
::120 ::JinGJA06 
::1266 ::icde98 
::Goel ::914872 
::Interaction ::Donahoo 
::P424 ::22851149 
::Xing ::Authoritative 
::Fernando ::Muthuramakrishnan 
::Mahajan ::864 
::43 ::585 
::Goldin06 ::Transaction 
::YounSun ::ichi 
::4497635 ::Sikka 
::General ::Garofalakis 
::991 ::Skippy 
::What ::914835 
::Cichocki ::1412 
::Curtis ::AbiteboulB91 
::YipCN05 ::SchmidtKW01 
::Regular ::WuDY06 
::22850230abs ::P104 
::Lal ::4497416 
::LeFevreDR06 ::Cabibbo 
::GriffithsFPJDM05 ::Imprecision 
::Hiroomi ::cker 
::AliZTK08 ::With 
::Giuseppe ::DaiKSTV08 
::Analyzing ::Dasgupta 
::designed ::Tilo 
::Uncovering ::BlossomTree 
::0 ::Feasibility 
::Decker ::Jinze 
::22850324abs ::Combining 
::FlajoletGPR93 ::Bicer 
::Tetsuya ::Zaniolo 
::P252 ::Invariant 
::Alper ::Expressive 
::1411 ::P302 
::4497603 ::Hisashi 
::MukherjeeRS05 ::Melnik 
::Natural ::based 
::WebFountain ::TsatalosSI94 
::Indyk ::Distribution 
::In ::Sarah 
::Friendly ::Jianping 
::PitouraT08 ::Laurent 
::Load ::152 
::Recovery ::Pryakhin 
::Function ::218 
::Puniyani ::638 
::LinVM06 ::SaltenisJ02 
::Approximately ::Fung 
::Kevin ::Towards 
::RiTE ::Sizov 
::1276 ::Bhattacharjee 
::NehmeRB08 ::sigmetrics 
::Sequencing ::Powerful 
::Aref ::Delcambre 
::15310483 ::Pratik 
::Bentley75 ::Niblack 
::22850384abs ::Relational 
::Leonidas ::109 
::Mitchell ::Natural 
::25 ::Visual 
::Specific ::AcharyaAFZ95 
::1114 ::Panayiotis 
::Zurek ::42 
::Pietzuch ::1098 
::962 ::Clusterin 
::Hui ::Klemens 
::King ::Parasuraman 
::765 ::Clio 
::Nie ::22851001abs 
::914862 ::Alper 
::on ::1400 
::Boncz ::MANETs 
::Memory ::Sarbanes 
::Thanh ::1531 
::Motwani ::914869 
::515 ::4497470 
::Metadata ::Grosky 
::15310706abs ::SegevP89 
::Domenico ::1580 
::Vibhuti ::Cormode 
::ke ::676 
::126 ::Fei 
::osdi ::421 
::ArefCEFGHIMPRTTTVZ02 ::4497465 
::Samet ::GrayR93 
::Example ::Estimator 
::X05r ::Kersten08 
::Tatemura ::Fen 
::Filtering ::XinSHL06 
::Profiles ::Etoh 
::V ::Bttcher 
::BurnsDILP08 ::Xiaofeng 
::Approximation ::1388 
::Reducing ::Bhlen 
::Massive ::Clusterin 
::Adriana ::PfahringerK95 
::Patterns ::Intelligent 
::Quasi ::Authoritative 
::Alexe ::Christina 
::506 ::MAPLE 
::Approximating ::RDB 
::Validating ::Reducing 
::Point ::Chang82 
::SardarK06 ::145 
::457 ::BonczKK96 
::1219 ::SVG 
::PuHK06 ::4497545 
::481 ::Grahne 
::22850791abs ::DuschkaL97 
::TaninHS05 ::Inderpal 
::Ting ::Propagation 
::Alborzi ::1102 
::Jermaine ::Venkitasubramaniam 
::Relationally ::X05r 
::Coherency ::282 
::Environmental ::LiuHXS06 
::Committee ::James 
::Multivariate ::276 
::JinGJA06 ::528 
::Soloviev93 ::ChenOO08 
::Building ::Park 
::Hashing ::Kimball96 
::Fernndez ::Levy 
::Zukowski ::Cattell94 
::4497450 ::1530 
::Shafiq ::RoitmanGR08 
::Expressive ::AmzaCZ05 
::Easy ::208 
::Sagawa ::Shinjiro 
::Networked ::4497484 
::Yalamanchi ::Munagala 
::Hardware ::X05s 
::LeuteneggerEL97 ::15310345abs 
::Naga ::Bertk 
::ADEPT2 ::599 
::4497485 ::Seidl 
::SrivastavaL88 ::Michael 
::AbiteboulK92 ::Bhalotia 
::Functions ::Krger 
::Numerical ::NakanoIK98 
::Malaika ::411 
::Blok ::Felipe 
::1543 ::172 
::DalkilicGR97 ::Jianlin 
::581 ::Petkovic 
::Sayed ::Xianghong 
::Jin ::Categorical 
::WWW ::Automation 
::BryanEF08 ::COUNT 
::Shadmon ::852 
::Super ::Tilo 
::Timos ::Indrakshi 
::FungYLY05 ::Secure 
::ISOMER ::KistlerS92 
::585 ::Maarten 
::Curt ::122 
::ke ::SPP 
::AugstenBDG08 ::Lamport78 
::Galpin ::Sequence 
::Chengyu ::Miss 
::1405 ::104 
::679 ::Tomkins 
::KanoulasDXZ06 ::Quantitative 
::BohannonPRSSS96 ::Human 
::1571 ::Ming 
::Lewis ::Lipyeow 
::wi ::internet 
::Theodore ::For 
::NeT ::Pattern 
::GardarinGT95 ::LevandoskiKM08 
::Tam ::Vinayak 
::WilschutFA95 ::Ramamritham 
::Cyrus ::CopelandK85 
::Times ::fodo 
::Anton ::49 
::977 ::WangXLW08 
::RiTE ::Weiyi 
::Mikhail ::Zeiss 
::HeinzKRS08 ::Choreographies 
::Chris ::Elmeleegy 
::Machine ::Mediation 
::Chair ::Kyuseok 
::Mining ::Devarakonda 
::1530 ::AmzaCZ05 
::Sharoes ::YanZHY06 
::Jae ::914851 
::P231 ::Molina83 
::4497472 ::22850261abs 
::IshikawaKOYKK98 ::Versatile 
::Saake ::Prado 
::LeeMCC02 ::ChenL02 
::Kwok ::Interpreted 
::Kurul ::KrishnamurthyI91 
::Linguistic ::Koudas 
::Yiping ::GruberKP01 
::154 ::4497620 
::285 ::Madhyastha 
::Ludscher ::1512 
::Gencai ::BertinoOYD05 
::SakuraiPF05 ::Nagavamsi 
::Click ::Experiment 
::586 ::LometBMS06 
::Are ::ThuraisinghamHRM98 
::4497413 ::Henrich98 
::Filters ::Dennis 
::KivinenM95 ::L 
::1627 ::Martone 
::Tarik ::Radeschutz 
::Problem ::Freksa92 
::NeumannHM05 ::once 
::753 ::Marinoiu 
::Developing ::McCannKSVSD05 
::XM ::Intelligence 
::Lingzhi ::Application 
::15310463abs ::HjelsvoldM94 
::Progressive ::1136 
::LuccheseVRY08 ::0002 
::302 ::SchiwietzK93 
::DakkaI08 ::MuralikrishnaD88 
::4497546 ::SmythG91 
::320 ::jiis 
::22850254 ::Liu98 
::ZhouYGCD08 ::515 
::Protein ::4497528 
::Kanne ::Scalable 
::22850261abs ::B+ 
::LinAGD08 ::Intersection 
::Bressan ::Blakeley96 
::iBOM ::4497559 
::LiuM96 ::Bitemporal 
::ChenOR08 ::814 
::On ::Orlando 
::WilkesGSS96 ::546 
::widomC96 ::Concurrency 
::Agesen ::CammertHKRSSZ06 
::1035 ::DrivenWeb 
::TrombettaB06 ::Panella 
::Meta ::Tuan 
::FLAME ::Paths 
::WangZZ06a ::Stephan 
::icde2005 ::NievergeltHS84 
::Tara ::Malin 
::22850606abs ::Provable 
::WangZZ06 ::4497423 
::Gravano ::Franois 
::Stacie ::Uwe 
::1114 ::515 
::Krger ::ChenLL08 
::Christophides ::Event 
::Rate ::Indicators 
::Thu ::WilkesGSS96 
::IMPrECISE ::ShivakumarGC98 
::Accelerating ::Praveen 
::Jasmine ::AgrawalLSS95 
::542 ::ngc 
::Timely ::YanOZ08 
::LeuteneggerEL97 ::Calders 
::DahlinWAP94 ::Wolfson 
::Murthy ::Denise 
::575 ::CLAN 
::Hse ::668 
::Biton ::Caches 
::Govindarajan ::1464 
::HampapurJW95 ::Halverson 
::Xiaoming ::Aggregationin 
::Yamini ::Aameek 
::Hao ::4497482 
::1495 ::Mengchi 
::ChenLL08 ::Jia 
::Kwietniewski ::Alexey 
::DeWittFMV90 ::Silberstein 
::From ::557 
::398 ::Ooi 
::Gunter ::Protein 
::Discovering ::Java 
::GalAX02 ::4497496 
::Yanjiang ::1369 
::Make ::Power 
::ChenDN02 ::Structure 
::Cammert ::Shaft 
::Xinqiang ::Gryz98 
::ups ::Krishnan 
::102 ::4497458 
::AgrawalG89 ::FaradjianGB02 
::Leo ::Vrhovnik 
::GrayBLP96 ::4497496 
::Convertible ::Bhat 
::AlonsoBPHK01 ::Everyplace 
::Tassa ::Nicola 
::Stefan ::LiuYT05 
::Sashikanth ::computer 
::With ::Ngai 
::HullY90 ::Boualem 
::Intuitive ::1048 
::Caching ::22850230abs 
::Kumar ::Schlesinger 
::Expensive ::Ladin 
::Stanley ::140 
::StonebrakerRH90 ::Interaction 
::Erdem ::Weber 
::120 ::914835 
::Majumder ::22850680abs 
::Balmin ::Mal 
::Tamir ::Muthukrishnan 
::good ::Bongki 
::Ramesh ::Windhouwer 
::136 ::Kramnik 
::on ::XGuard 
::282 ::Bhavani 
::Arnd ::Miner 
::LeungNM02 ::Dixit 
::1104 ::932 
::Infrastructure ::Encoded 
::Subrahmanian ::1394 
::CastellanosBR08 ::PiatetskyF91 
::UchiyamaOH05 ::Sourav 
::Ander ::15310117abs 
::Profiles ::4497616 
::Betty ::313 
::CandanHS98 ::Products 
::1432 ::RFID 
::Martin ::Cho 
::Papapetrou ::Passing 
::etintemel ::Ning 
::1098 ::Rosenthal 
::Tien ::Bill 
::4497458 ::22850804abs 
::Aggarwal02a ::DeaconSW94 
::KohLHA08 ::RamamrithamSSTX96 
::1095 ::254 
::SVL ::stoc 
::22850865abs ::313 
::Matchings ::Linguistic 
::Tier ::AbiteboulQMWW97 
::923 ::91 
::Fegaras ::1150 
::ipsj ::WiwatwattanaJ08 
::Network ::Identification 
::LiLL08 ::Feature 
::Hiroyuki ::794 
::QShuffler ::545 
::Davood ::GoldbergR83 
::P144 ::Reducers 
::22850949abs ::498 
::Bing ::RemiasSZS97 
::22850594abs ::Browsing 
::Charging ::892 
::Enabling ::AbiteboulCM95 
::1179 ::93 
::Through ::Committee 
::ChenCRM06 ::Bettina 
::1596 ::Continuous 
::Naomi ::1454 
::Farrell ::675 
::Billing ::949 
::Chiang ::PictureBook 
::Weaver ::586 
::MeltonS93 ::594 
::Balanced ::1620 
::Lo ::LianC08 
::Ji ::1620 
::DewriRRW08 ::Pautasso 
::287 ::DesphandeGMH05 
::Gen ::Sarawagi95 
::KimCD05 ::CareyDFHMNSSTTWZ94 
::FLAME ::Papapetrou 
::Prabhakar ::Q 
::ER ::Schek 
::RoussopoulosL85 ::WilschutFA95 
::Heterogeneous ::Mudumbai 
::Sweeney ::Tamir 
::Graefe ::Tears 
::Random ::Quantitative 
::Nes ::Usama 
::Ellmann ::Bentley80 
::Evripidou ::599 
::4497459 ::4497404 
::Gorman ::200 
::Geometric ::P252 
::313 ::Bhattacharjee 
::HaraHTN97 ::Now 
::Kihong ::Pei 
::Saltenis ::15310327 
::Shape ::192 
::Prefix ::Wong 
::WangRM06 ::ACXESS 
::KasneciSIRW08 ::Arnab 
::1495 ::528 
::Increasing ::949 
::GutingAABDHHST05 ::Cochinwala 
::Vasileios ::ThomsenPL08 
::Nrvg ::New 
::TangYOW08 ::Generalization 
::Hutchison ::Terlecki 
::Persistent ::PrefixSpan 
::Palopoli ::ADEPT2 
::stoc ::BrantnerKMH06 
::240 ::962 
::Karlsson ::KemperM90 
::MozafariTZ08 ::Sellis 
::1369 ::Trade 
::BlakeleyCERW05 ::Provisioning 
::Dongwon ::Pinar 
::Systems ::XPlainer 
::1013 ::FernandezFLS97 
::AlexanderR06 ::Delcambre 
::Swaroop ::Attributes 
::KwietniewskiWTGGJJN08 ::178 
::Gsta ::BerchtoldBKK97 
::SalzbergT96 ::Na 
::22850471abs ::SPP 
::139 ::Haojun 
::224 ::Regular 
::Wombacher ::ChanG85 
::Antti ::22851109abs 
::93 ::1467 
::Juha ::93 
::Olston ::989 
::22851129abs ::Has 
::Phrase ::MoonWL01 
::Caetano ::193 
::4497514 ::230 
::22850552abs ::Click 
::On ::Architectures 
::code ::265 
::Rogers ::Wong 
::22850564abs ::ife 
::KoudasS98 ::Accelerating 
::Chairs ::Kee 
::Fen ::SeegerK90 
::AgrawalIS93 ::Random 
::CatarciCS94 ::341 
::Xie ::Marianne 
::of ::Visibility 
::Kubota ::1343 
::Eltarras ::2006 
::Horibe ::567 
::level ::RemiasSZS97 
::H ::sebd 
::Bowman ::Settings 
::Zhang ::Self 
::Freeston95 ::Understanding 
::KrishnamurthyI91 ::2000 
::Chiusano ::Cochinwala01 
::Prototyping ::Geometric 
::SenR05 ::15310331 
::icdcs ::Bertk 
::Blok ::4497408 
::Fetching ::Expression 
::Algorithms ::Friedman 
::241 ::LiL08 
::Takashi ::P014 
::Acquisitional ::914853 
::Use ::Compiler 
::Shantanu ::Shape 
::Browsing ::LimN01 
::1349 ::GuptaM95 
::Hambrusch ::Tape 
::jsac ::Caches 
::Saydean ::Kambhampati 
::ssdbm ::914824 
::Faloutsos ::714 
::TALE ::Integrating 
::Load ::1101 
::CareyDFHMNSSTTWZ94 ::Xiaoxin 
::Divyakant ::Ilyas 
::Riedewald ::XQSE 
::WangXLW08 ::Apurva 
::Haifeng ::Paul 
::Enabled ::Hae 
::1384 ::ChiuehP05 
::Gruenwald ::Draper01 
::Federated ::Tatemura 
::EvdokimovFG06 ::Serap 
::Ghinita ::P116 
::Gaurav ::Novel 
::Lehner ::PGM 
::15310339 ::Gorman 
::Ihab ::Kristin 
::Progress ::4497579 
::Xuegang ::Parallel 
::22850258abs ::Understanding 
::Narang ::SavasereON98 
::1095 ::GawlickK85 
::Sequencing ::Mema 
::Klaus ::Cohe 
::Sunita ::to 
::Extending ::party 
::50 ::Bing 
::992 ::AbiteboulB91 
::Cao ::Akiko 
::Settings ::Kifer 
::Augsten ::Brent 
::Heng ::15310529abs 
::ChaudhuriDK06 ::Placement 
::Molina08 ::Fusheng 
::138 ::Dalvi 
::micro ::YangL01 
::Alexandros ::QPipe 
::Zabback ::Lingzhi 
::Qian96 ::ibmsj 
::Coupled ::LiuSYR98 
::Kementsietsidis ::Rastogi 
::JeungLSZ08 ::Mano 
::KotidisSV06 ::Savage 
::151 ::Vinayak 
::Hulgeri ::Cochinwala01 
::MyllymakiL95 ::cover 
::P024 ::457 
::pdf ::Tung 
::2000 ::ParkCY95 
::Chiusano ::Olivier 
::Schneider05 ::4497494 
::ZhouYGCD08 ::Stonebraker 
::Cliques ::15310567abs 
::Utilization ::Guang 
::Methods ::WangRM06 
::Braumandl ::Khalifa 
::15310697abs ::Agesen 
::Personalized ::Hazem 
::Bentley80 ::GedikWYL08 
::Version ::4497516 
::Dmitry ::489 
::914840 ::Kihong 
::COUNT ::Zeiss 
::Mondrian ::Koubarakis 
::Kristal ::Ntarmos 
::Jagadish90 ::SizovSTW02 
::332 ::Margaret 
::Deletes ::10010143abs 
::Gupta ::Selinger05 
::BargaL01 ::multimedia 
::Intelligent ::Yuan 
::Hmmer ::Stonebraker86 
::4497446 ::Selectivity 
::ShethL90 ::Ugur 
::SECONDO ::Elmagarmid92 
::118 ::Benchmarking 
::of ::Skew 
::Mourad ::291 
::Relation ::Ashish 
::InanKBS08 ::15310383abs 
::Siberski ::Materialized 
::Sharing ::1480 
::Dai ::P370 
::Reviewers ::YanZHY06 
::Rahm92 ::MANETs 
::LiuHXS06 ::Ono 
::Cohe ::LeongS97 
::LiLH06 ::SAP 
::252 ::WangZZ06a 
::Idea ::Donghui 
::1325 ::Srinivasan 
::Systems ::Pavan 
::Fits ::BentleyF79 
::326 ::126 
::Tan ::Back 
::Snapshot ::Example 
::Untrusted ::ChenR05 
::Evripidou ::ChenC92 
::EvangelidisLS95 ::X05q 
::G ::FernandezFLS97 
::Tier ::Guarantees 
::P486 ::914874 
::Personalized ::1450 
::Cordova ::532 
::Semantic ::Silva 
::Partnership ::Boris 
::Jr ::Extensions 
::Gang ::Patterns 
::BayerHR80 ::Christian 
::Negative ::FlajoletGPR93 
::Towards ::Forms 
::Marianne ::KlemettinenMRTV94 
::Neumann ::proceedings 
::22850310abs ::Leutenegger 
::tse ::431 
::Indexes ::DIPBench 
::Volatile ::GuptaHQ95 
::WangY02 ::Fishman01 
::271 ::Takashi 
::McKenna ::KamelF94 
::Working ::Skylining 
::Dao ::22850285abs 
::Provable ::SIPPER 
::Kumar ::Vaithyanathan 
::873 ::OCallaghanMMMG02 
::Hashing ::Dhamdhere 
::4497528 ::Ken 
::Kanamori ::on 
::DBMSs ::Perrin90 
::Stphane ::Muralidhar 
::Match ::642 
::Kimeli ::Yu 
::Ln ::Tight 
::Mark ::partite 
::292 ::SarawagiS94 
::Atmosukarto ::Leymann95 
::Takahide ::Wynne 
::Jianping ::914832 
::ZhugeG98 ::Balke 
::NeT ::Geoinformation 
::339 ::Nodira 
::Jos ::BirdCDLZ06 
::Lucchese ::Operations 
::ZhouTZ06 ::JagadishMR97 
::Power ::Learning 
::Cattell94 ::623 
::Dual ::Mathew 
::483 ::Aristides 
::Bowman ::4497461 
::FerhatosmanogluTAA01 ::Environment 
::Guido ::NaackeGT98 
::1266 ::22850118abs 
::4497502 ::MalkemusPBC05 
::LegariaGGHSWYZZ08 ::Indexing 
::HSI ::Dakka 
::Susan ::Goldin 
::4497576 ::PrabhakarAAA98 
::Ho ::Feature 
::Partitioning ::1521 
::TheodoridisS96 ::SellisRF87 
::TanGO01 ::Partitioning 
::siamcomp ::Distribution 
::Subramanian ::Nie 
::Handling ::Jeung 
::GareyJ79 ::Pei 
::Algorithm ::Mauroux 
::XingZH05 ::914877 
::SrikantA95 ::Adjourn 
::Domenico ::Simmen 
::NN ::QoS 
::1524 ::KoudasS97 
::1486 ::Wavelet 
::244 ::Carey 
::Stacie ::KamathR98 
::toms ::Cui 
::Nassima ::About 
::Chiueh ::Graefe 
::Economically ::SilberschatzSU91 
::Overlapping ::Neil 
::Ruddy ::BrinkhoffKS96 
::Kumaran ::1483 
::622 ::Pipelining 
::1118 ::Zhao 
::Bowman ::Kollios 
::XParent ::Mourad96 
::Balmin ::Korn 
::Lung ::Optimize 
::StearnsR81 ::Yip 
::Rules ::Publish 
::t ::Multimedia 
::4497415 ::555 
::Scale ::Certain 
::Coverage ::763 
::Yoji ::ZhouZVQ08 
::Djafri ::Sanghyun 
::Miner ::1471 
::4497613 ::15 
::Banu ::Extensible 
::22850419abs ::YangSRG06 
::Heiler ::the 
::Liangzhong ::Maya 
::Updates ::Lp 
::Jrg ::HellersteinKP97 
::AlonsoBC08 ::Vectors 
::Yuen ::Verify 
::Lijiang ::300 
::Analyzing ::Ammar 
::Lapped ::Xiaojin 
::Pilania ::ChandelNS06 
::Singh ::Closure 
::Afalg ::VLEI 
::114 ::Wombacher 
::22851141 ::Gupta98 
::Venkitasubramaniam ::15310335 
::MegalooikonomouWLF05 ::914809 
::1140 ::4497461 
::Houle ::Apers 
::Lucchese ::Abiteboul 
::Bamieh ::22851143abs 
::Seeger ::mms 
