::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Milan ::SiL96 ::172 ::Bowers 
::RiTE ::Srini ::716 ::Netz 
::Subramanian ::Objects ::P134 ::Complex 
::X05s ::873 ::SeegerK90 ::RaoPML06 
::30 ::ChenWWM06 ::Eric ::Temporal 
::TRMeister ::Transactional ::4497572 ::1024 
::Video ::KhaitanRJC08 ::Sources ::CaliM08 
::1515 ::Mapping ::224 ::DuKS92 
::Gagan ::Yufei ::ChenGK05 ::Jonas 
::Georgiadis ::Yin ::Technique ::4497435 
::Bird ::Software ::WuB97 ::Furche 
::540 ::Author ::Procopiuc ::AugstenBDG08 
::Sattler ::Xie ::GutingZC89 ::XPlainer 
::THALIA ::Yanjiang ::131 ::Clemens 
::Elena ::Bhavani ::Wrapper ::Gio 
::122 ::Analytical ::DengSXL06 ::Vu 
::Systematic ::KhaYU01 ::Chin ::Ntarmos 
::Lossy ::v8 ::Gupta98 ::74 
::Set ::Vladislav ::Bypass ::Clemens 
::GuhaKSY06 ::Andreas ::Spyratos ::1436 
::EmekciAAG06 ::328 ::StonebrakerRH90 ::Miss 
::Vaupel ::Seltzsam ::1477 ::MendelzonW95 
::778 ::Vasileios ::322 ::Andreas 
::Shojiro ::Pollack ::Stratified ::4497599 
::25 ::BancilhonDK92 ::933 ::Mehrotra 
::HSI ::ApersHY83 ::Honishi ::MorishimaNISK08 
::101 ::CORBA ::420 ::4497565 
::Srivastava ::4 ::partite ::Shift 
::Sky ::FlajoletGPR93 ::Stored ::Aggregationin 
::Feng ::DeligiannakisSKVD08 ::GhaffarA97 ::Rinderle 
::Shunsuke ::4497548 ::KuwabaraT05 ::1328 
::15310431abs ::KatayamaS97 ::Justin ::166 
::246 ::314 ::80 ::Feida 
::141 ::KeijzerK08 ::HwangCZ08 ::FernandezFLS97 
::Conference ::Sagawa ::PnP ::OrjiS93 
::SuleimanCF98 ::BerchtoldBK98 ::494 ::McCann 
::Louiqa ::Midflight ::MummertES95 ::Heinlein01 
::22850261abs ::ChenCRM06 ::Profiles ::1073 
::15310278 ::Collaboration ::Commodity ::BrakatsoulasPT05 
::Thakkar ::Kimutai ::15310271 ::Approximate 
::DesslochHWRZ08 ::Green ::Multi ::Zaiqing 
::1527 ::Liang ::Murugesan ::Sylvia 
::Renato ::Multiple ::Boncz ::Scheduling 
::914857 ::Cobena ::Pinto ::Donghui 
::BilirisO93 ::SunAA02 ::Overlay ::designed 
::Gignere01 ::1346 ::Syntactic ::GeorgakopoulosHS95 
::ZouSL98 ::Koutrika ::Memos ::SmythG91 
::Hashing ::4497551 ::YiuJHL08 ::Coherency 
::SEMCOG ::Trial ::Naphtali ::15310269 
::PopekK79 ::XPath ::Calisto ::XuLXM06 
::340 ::587 ::MoonWL01 ::Atzeni06 
::Bhat ::Eugene ::536 ::HOLAP 
::1042 ::artdb ::Art ::Tracking 
::Vishal ::528 ::IkedaMITHHO05 ::4497537 
::Kolovski ::TrombettaB06 ::Control ::Its 
::Relevance ::LindsayMP87 ::LiCHH97 ::Software 
::Krompass ::Coverage ::66 ::LorentzosM97 
::Y ::Kun ::KahveciS01 ::4497433 
::TanselCGJSS93 ::WangJT06 ::osdi ::icde98 
::Vassilios ::Erhard ::ZhouZVQ08 ::Hope 
::22850828abs ::Miah ::Comparative ::1519 
::Pitoura ::Mining ::Gregory ::Policies 
::PuKH88 ::Bayardo ::22850865abs ::Behzad 
::Access ::Detecting ::706 ::286 
::914854 ::529 ::1131 ::2285 
::339 ::Krishnaprasad ::Lohman ::Deng 
::Compressor ::NodineZ90 ::Arnon ::Wilschut 
::future ::Melnik ::Neal ::HarrisonD92 
::FLWOR ::4497527 ::GukalOR96 ::Simulation 
::HuangJLO06 ::15310191abs ::Khoussainova ::Watson 
::Athena ::933 ::ChangYDA88 ::4497524 
::Hanan ::4497456 ::conf ::Zilio 
::GonzalezHLK06 ::15310357abs ::WangRL08 ::Anil 
::341 ::Sensing ::Kolovski ::Very 
::Cable ::Milena ::Sandeep ::Elmeleegy 
::Kashima ::Propagation ::ShkapenyukS02 ::CormenLR89 
::1394 ::Feida ::Atri ::Improve 
::Finding ::LaiTB05 ::SIPPER ::Automated 
::22850656abs ::Jimeng ::InanKBS08 ::FungWY05 
::Voronkov ::SPP ::Segmentation ::Laws 
::139 ::Ali ::Correctness ::Ghafoor 
::Gounaris ::Prcis ::Weining ::Vanitha 
::Aziz ::GoldinK95 ::Chakravarthy ::ReSF06 
::Reichert ::SinghL08 ::BrownH06 ::337 
::Mix ::581 ::Similar ::506 
::172 ::Delcambre ::412 ::8i 
::LeeKC01 ::BeckmannHKN06 ::Hirade ::Alfons 
::HuaYL06 ::Vetle ::Raman ::ATLaS 
::22850968abs ::Click ::H ::Bart 
::Upendra ::Ling ::Settings ::299 
::4497523 ::MishraE92 ::Smodels ::Recovery 
::Manjhi ::46 ::Region ::346 
::183 ::Lomet93 ::224 ::SellentinM98 
::607 ::4497443 ::Hallett ::Rosy 
::Stabbing ::Hetal ::NgR95 ::1328 
::4497562 ::Weiping ::Lightweight ::Operator 
::Xiaowei ::Shkapenyuk ::AHYDS ::Zadrozny 
::LB ::Non ::Increasing ::518 
::882 ::Periodic ::914858 ::Numeric 
::Barton ::Primary ::S ::4497495 
::4497430 ::Defined ::P558 ::15310041abs 
::Hett ::Grandison ::GoldingBSSW95 ::SmythG91 
::Inan ::Rhm ::Item ::Meyerson 
::Spiros ::LiuP98 ::Donahoo ::4497634 
::Shenoy ::CastellanosC05 ::GuhaK02 ::ShethR93 
::Era ::P024 ::Preservation ::Jost 
::Lyman ::301 ::Nehme ::Reducers 
::ZouSL98 ::15310053abs ::Anonymizing ::Synthesizing 
::AquaLogic ::249 ::Krompass ::MalikBC05 
::876 ::PetkovicZBJAWK02 ::Joon ::15310323 
::Specification ::DeWittKLPY94 ::Gardarin ::Pfoser 
::814 ::22850853abs ::Alessandro ::YanOZ08 
::667 ::Lijiang ::1259 ::PapadiasTKZ02 
::SCADDAR ::15310639abs ::22850188 ::lisa 
::l ::1354 ::Hyong ::4497404 
::Sander ::Halverson ::4497417 ::GaoZCLLC08 
::1366 ::Archival ::Composition ::GPIVOT 
::1498 ::604 ::LOCUST ::4497505 
::DengDRZ08 ::Leung01 ::406 ::Guha 
::72 ::4497550 ::696 ::Items 
::4497511 ::Internal ::Ketchpel ::COLR 
::CareyDN93 ::882 ::914864 ::Anja 
::476 ::GuptaJM96 ::P602 ::Vijayshankar 
::Gionis ::Jarek ::Eugene ::Yibin 
::Prashant ::Sketch ::Mohan94 ::Comparative 
::4497604 ::Suppression ::System ::Convertible 
::MogiK96 ::BulutS05 ::Claudio ::Marianne 
::ShuklaDNR96 ::4497577 ::Implementation ::139 
::1583 ::Hypermedia ::Ulrich ::Laurent 
::Definitions ::LoR94 ::Dik ::Shyu 
::Zeng ::Linguistic ::pdis ::Chin 
::22 ::RastogiS98 ::Prado ::GhinitaTK08 
::RusinkiewiczKTWM95 ::90 ::Ellmann ::Reza 
::Chatziantoniou ::Farnoush ::Klaus ::Balter 
::Tomasic ::Quality ::LeungMSVVZ93 ::Euthimios 
::Categorical ::Suciu96 ::Moshe ::Lynch83 
::Stabbing ::Pseudo ::Jasiobedzki ::914854 
::All ::446 ::ht ::Winter 
::220 ::WuXTL06 ::usenix ::Records 
::SavasereON95 ::Garret ::AhmadABM08 ::ShashaLSV95 
::Habich ::Rohit ::MehrLLS08 ::22850057abs 
::Choi ::Supervised ::Past ::Pearson 
::CARE ::Persistent ::Heinlein ::Integratio 
::Congjun ::KochSS08 ::Dewri ::Anton 
::Zhuge ::Compiler ::Ikeda ::Based 
::Goetz ::Nick ::Haibing ::Strong 
::8i ::Reasoning ::Stocker ::BhalotiaHNCS02 
::TALE ::Olston ::KapitskaiaTV97 ::Yang 
::139 ::AbiteboulMB08 ::Methodical ::Collection 
::Alink ::763 ::Krishnan ::Clusters 
::Sihem ::Liang ::Johannes ::1384 
::Wiwatwattana ::P294 ::DeligiannakisSKVD08 ::KumaranCH06 
::Yk ::4497404 ::Oracle8 ::Prasad 
::4497432 ::Brett ::Seltzer ::Connected 
::4497525 ::Didi ::1412 ::Three 
::for ::algorithmica ::Chrysanthis ::ADEPT2 
::Pull ::join ::982 ::Jeyashankher 
::Sudipto ::LB ::260 ::DeshpandeH02 
::Ono ::Verykios ::306 ::466 
::JiangAC05 ::Gyu ::Multimedia ::tkde 
::Taniguchi ::EllisGR91 ::LiuYGS98 ::Telecommunications 
::Bouaziz ::Sankaranarayanan ::Invariant ::BernsteinGW93 
::1136 ::Arvind ::Mohan ::Shen 
::Cabibbo ::Advances ::22850816abs ::Balmin 
::PinarTF05 ::artdb ::journals ::Cudr 
::FranklinCL92 ::Jigsaw ::BatoryBGSTTW88 ::YinC05 
::LudascherGM01 ::JainDG08 ::Amir ::Fuh 
::Xiaopeng ::Master ::Jiang ::Personalized 
::Arshad ::Tu ::15310064abs ::ZhangTS02 
::Length ::Working ::Kai ::Anonymity 
::Renato ::Mediator ::Raffio ::Presence 
::Jr ::Toman96 ::Zhou ::Ntarmos 
::Ordering ::Banaei ::Khalifa ::15310279 
::P066 ::4497518 ::SMART ::Automatic 
::Recovery ::Ulrich ::GuptaHR98 ::Niblack 
::Maher ::Shifting ::4497613 ::Discriminative 
::Queries ::Jagadish90 ::AtallahCK08 ::Parking 
::ChenC92 ::stoc ::JiangVBCB05 ::Duplicate 
::4497473 ::Laurent ::Discovery ::DengDRZ08 
::Yk ::Mamoulis ::Sellis ::Zezula 
::won ::307 ::4497606 ::Unstructured 
::Kitsuregawa ::1436 ::Dyreson96 ::4497495 
::Seshadri01 ::331 ::WebIQ ::ShahR08 
::Fingertips ::316 ::PDM ::Jennifer 
::SPOT ::Blocks ::Aravindan ::182 
::Ugur ::ChengYDYW08 ::Service ::Hung 
::Ester ::Kanagal ::Ha ::algorithmica 
::4497458 ::Adriana ::DeligiannakisSKVD08 ::Reference 
::Progress ::Aaron ::Ivan ::Kleene 
::Ohler ::Tien ::Joshi ::mk 
::Subset ::Inclusion ::Felix ::Schroeder 
::497 ::4497469 ::Gravano ::1348 
::22850326abs ::Bernstein ::Milena ::New 
::Mauroux ::Threshold ::Torsten ::169 
::Summary ::Silberstein ::WuXTL06 ::Their 
::4497431 ::Zoupanos ::Weddell92 ::Punctuation 
::518 ::Bill ::Weidong ::Enterprise 
::Privacy ::Hierarchical ::Multimedia ::MartinGH08 
::DesphandeGMH05 ::338 ::Performance ::Moustafa 
::YiJF98 ::Grtner ::Hierarchies ::Su 
::GubanovBM08 ::Xin ::Casati ::274 
::Mahesh ::YounSun ::Ramamohanarao ::acta 
::GrayC89 ::HowardKMNSSW88 ::Stonebraker94 ::Ihab 
::Barga ::Queues ::Gignere ::Al 
::Alberto ::Ning ::AgrawalCGMM08 ::38 
::4497405 ::390 ::All ::Kapantaidakis 
::Snodgrass ::1627 ::Qi ::684 
::W ::MIX ::Antoshenkov92 ::Processing 
::Iman ::Fusheng ::4497479 ::Sun 
::Orenstein91 ::OptRR ::152 ::119 
::Murali ::Statistics ::via ::Intelligent 
::Gadia88 ::Answering ::Kenneth ::PapadiasTKZ02 
::Shegalov ::Bongki ::ChenDKLRS95 ::Hardware 
::Good ::Ash ::Jiying ::Walk 
::Naughton ::Melnik ::Bruce ::92 
::BehrG05 ::4497425 ::Location ::WiwatwattanaJLS06 
::SaltenisJ02 ::Banich ::Cong ::22850273abs 
::Agarwal ::4497492 ::Predator ::475 
::Ding ::1534 ::GovindarajanMV06 ::GrahneLWX01 
::NakamuraE02 ::SellisRF87 ::Henry ::Bypass 
::Wolf ::Huahai ::ShenOT06 ::Xuqing 
::BirdCDLZ06 ::sebd ::375 ::SUBSKY 
::Proces ::Incremental ::155 ::DeWittFMV90 
::TelegraphCQ ::Hsu ::OCallaghanMMMG02 ::Buchmann 
::Shuai ::Zou ::Problems ::204 
::Sentiment ::4497630 ::Du ::4497599 
::217 ::Sergej ::Kamath ::KeulenKA05 
::191 ::Intra ::Yuan ::Sheng 
::4497563 ::Mani ::22850552abs ::Coskun 
::Ashish ::Velegrakis ::Mladenic ::43 
::927 ::Ander ::914811 ::Xianghong 
::22850285abs ::Tyrone ::Tabular ::4497422 
::Processor ::Flow ::LiuYT05 ::intensive 
::Sing ::275 ::914847 ::Rajkumar 
::iandc ::Rimma ::Cube ::Mehta 
::AlonsoC05 ::inWireless ::Zoupanos ::PolyviouSE05 
::Kotagiri ::Arijit ::Inverse ::Seidel90 
::Silvia ::partite ::YangL87 ::Kit 
::HuaPZL08 ::ModelGen ::Bouaziz ::Jianneng 
::GrayBLP96 ::Automating ::Jeung ::Antoni 
::Chita ::Krmer ::Marc ::P276 
::Manipulation ::Draper01 ::914856 ::4497567 
::AgrawalS94 ::Elhadji ::aware ::Kendig 
::P259 ::Filtered ::Di ::Odysseus 
::EltabakhEA06 ::X05r ::4497529 ::Arbitrary 
::Toman96 ::Steven ::Bogdan ::DuKS92 
::Previously ::booktitle ::HouleS05 ::1190 
::Carson ::139 ::Regnier85 ::De 
::CareyHL93 ::GuptaMS93 ::External ::Parallel 
::Tanin ::P259 ::392 ::Recognition 
::790 ::MalinAEL05 ::22851106 ::Avoiding 
::Next ::SunPF05 ::Based ::Agma 
::Hu ::Signature ::Oguchi ::34 
::Yanjiang ::Wright ::ZhangOAI06 ::Wiederhold 
::832 ::TheodoridisS96 ::4497591 ::587 
::4497543 ::AliCKR08 ::Helmer ::computer 
::Orenstein91 ::KemperK93 ::Aidong ::4497572 
::Heng ::BrantnerKMH06 ::Seidl ::LowTLL02 
::Crime ::Newton ::15310593abs ::Rao 
::Scientific ::803 ::Laws ::42 
::Kashyap ::1420 ::LupuY06 ::Deshpande 
::Praveen ::2007 ::Terminological ::NieWWM06 
::Monica ::Tirthapura ::Norman ::Matt 
::Discovery ::Descour ::Yihong ::914871 
::15310297abs ::Skyt ::SeshadriLR96 ::YanOZ08 
::GubanovBM08 ::269 ::236 ::Ramon 
::Working ::Gnther ::Alonso ::4497451 
::Lyman ::CORBA ::208 ::Milind 
::Panella ::Sets ::Pautasso ::Huan 
::Michal ::149 ::KamathAGM96 ::Greedy 
::Yiheng ::Patrick ::4497537 ::Bouganim 
::Shedding ::914811 ::4497588 ::Fischer 
::FranklinCL93 ::P268 ::Patterson ::Tryfona 
::Schwarzkopf ::Ip ::Smodels ::1120 
::Huang ::1317 ::Exploration ::Rys01 
::P108 ::Davidson ::MOOLAP ::Ray 
::PreparataS85 ::WilschutFA95 ::Wichterich ::Idreos 
::Goyal ::Program ::Ander ::Lag 
::1571 ::DeshpandeH08 ::15310500 ::VaradarajanHR08 
::AquaLogic ::AggarwalY08 ::CarminatiFB05 ::SellisRF87 
::Statistical ::Thaden ::Hoarding ::YiLKS08 
::Marcin ::299 ::Telecom ::Relationship 
::FlicknerSAHDGHLPSY95 ::lisa ::484 ::DongDong 
::MoerkotteN08 ::Beyer ::Precision ::Malaika 
::BorgBG83 ::Tatemura ::296 ::Anomalies 
::Legacy ::Cache ::PapadiasT97 ::149 
::List ::Folding ::Tamir ::KapitskaiaTV97 
::Nested ::PopivanovM02 ::Shan ::Graefe98 
::BrinkhoffKSS94 ::4497564 ::Milind ::583 
::StodolskyGH93 ::Inferring ::22850205abs ::1287 
::DarFJST96 ::Mobile ::1571 ::AndritsosFM06 
::Muhammad ::Essence ::Baihua ::Trombetta 
::Ari ::270 ::Ariel ::15310309abs 
::P578 ::Diverse ::Zeller ::Ahn08 
::Milan ::679 ::Predicates ::BerchtoldBBKK97 
::Yoshikawa ::AikenCSW96 ::Mehr ::IwenLP08 
::Joxan ::21 ::Terracina ::Estimating 
::mm ::Judice ::357 ::22850118abs 
::Power ::Ganesan ::Bugra ::Solutions 
::LiuR05 ::15310117abs ::AlomariCFR08 ::Reformulating 
::MartinGH08 ::the ::FernandezFLS97 ::Niels 
::Callaghan ::22850978abs ::SrikantA95 ::Scale 
::Fan ::PapadimitriouRR94 ::Angel ::Transform 
::MetaQuerier ::toWeb ::HenrichSW89 ::End 
::379 ::Xiaopeng ::Krauthgamer ::Sets 
::481 ::GhandeharizadehHJ92 ::HeLC05 ::cdrom 
::Attribute ::KoloniariP08 ::Nehme ::LiuC08 
::Aleksandras ::Powered ::Jun ::Relationally 
::Gemulla ::P602 ::Chuan ::SpaceTwist 
::LiedesW06 ::GareyJ79 ::AbiteboulB91 ::Leymann97 
::Ng ::153 ::Integrity ::Maurice 
::4497441 ::151 ::Jr ::544 
::Complexity ::1141 ::Nicklas ::4497585 
::277 ::Jonker ::Amir ::1494 
::Louiqa ::SarawagiS96 ::JagadishMM95 ::Sven 
::Edoardo ::Asl ::Alex ::Kristal 
::158 ::Mengchi ::1467 ::4497573 
::Ku ::Offs ::Fathima ::Changqing 
::365 ::Erhard ::Soo91 ::Closed 
::RabinovichBGLMM98 ::Rastogi ::KhoussainovaBS08 ::dpd 
::Miner ::Venkatasubramanian ::Melanie ::Flow 
::Joachim ::KatayamaS01 ::Alejandro ::JakobGHN05 
::Nearest ::Papadopoulos ::Pedersen ::371 
::Rajamani ::DanDY91 ::Willy ::Panagiotis 
::475 ::Hu ::ShethR93 ::Intelligent 
::Yossef ::Historical ::ZhangLXKW06 ::Keulen 
::Hari ::AxPRE ::Yasushi ::Autonomous 
::Anomalies ::4497530 ::YouPL05 ::PeeryWMN08 
::CareyL91 ::ThomsenPL08 ::Tu ::Hyong 
::22850552abs ::639 ::4497482 ::Mining 
::Stratis ::meets ::Gen ::BukhresSNBAOGKCMS02 
::LiLHC06 ::Tracking ::Exemplar ::Davulcu 
::4497628 ::Mengzhi ::LegariaGGHSWYZZ08 ::Draper01 
::HamakawaR94 ::Koutrika ::Guo ::Krishnamurthy 
::Bhm ::P252 ::Nectaria ::AnYS01 
::814 ::RamanathZFH05 ::Eran ::Improving 
::Eltabakh ::Inference ::Voronkov ::DakkaI08 
::SarawagiS94 ::Nuwee ::Salzberg88 ::Tanizaki 
::Prcis ::914871 ::MUSE ::Tari 
::Alps ::Feature ::SEMCOG ::Kurul 
::LieuwenD91 ::Benjelloun ::Orlando ::BakalovHHT08 
::Sacc ::Sobulo ::Hull ::Bhide 
::S ::Alexe ::914823 ::AkindJLS02 
::Bishwaranjan ::XParent ::Lakshmanan ::Grid 
::512 ::147 ::201 ::Govindan 
::585 ::Sarawagi ::Aleksandras ::That 
::MobiQual ::Venkatesh ::650 ::Basket 
::PuL91 ::Davide ::Daniela ::Recognition 
::DaynesC01 ::15310706abs ::Markus ::PoosalaIHS96 
::1042 ::LynchS88 ::Effective ::Lan 
::Lohman ::Chamberlain ::Solutions ::107 
::Assurance ::Attacks ::Ip ::Antal 
::Chun ::Background ::ChaudhuriW06 ::PapakonstantinouGW95 
::Jasmine ::Yunjun ::15310419abs ::Maier83 
::Kollios ::BohmHLW08 ::Narasayya ::LeeLL06 
::SrivastavaHMKT06 ::Gregory ::Vista ::1277 
::HuaPZL08 ::Eunus ::KaufmanR90 ::QianW91 
::41 ::Willy ::Frequent ::Martin05 
::147 ::Negi ::22850341abs ::Grabs 
::Horng ::145 ::62 ::Clients 
::SpinCircuit ::1122 ::Suresh ::AslandoganTYLN95 
::Theoni ::HarrisonD92 ::BernsteinL96 ::22850081abs 
::column ::Katayama ::Gignere01 ::Granular 
::Directions ::Loosely ::Lola ::15310483 
::Shmueli ::Mathew ::Farnoush ::15310267 
::914875 ::LevyMSS95 ::Extraction ::Xiaokui 
::Hutchison ::Authoritative ::Salzberg ::DuS82 
::4497416 ::JaffarYZ06 ::P568 ::Cochinwala01 
::Accurate ::trees ::730 ::Flesca 
::Hara ::Rundensteiner ::Anup ::hoc 
::QShuffler ::22851098 ::ChanFGR02 ::Manocha 
::Hsiao92 ::949 ::Stacy ::240 
::4497425 ::zsu ::Odysseus ::Ludscher 
::Aliekber ::Vladislav ::Overlay ::791 
::1426 ::P066 ::Raghu ::bda 
::Klaus ::22850285abs ::15310393abs ::Sattler 
::459 ::Lyman ::1052 ::BehrG05 
::Acharya ::1476 ::Convertible ::Broken 
::Linkage ::Items ::AgrawalG89 ::GoldingBSSW95 
::LeeSZ05 ::595 ::Interfaces ::914850 
::Zloof77 ::Outlier ::Moshchuk ::ZaianeELL05 
::Atomic ::Flip ::914823 ::1453 
::Assessment ::Synopsis ::TaniguchiS05 ::NievergeltHS84 
::StoumposDKD08 ::Petko ::Shu ::Updating 
::Harald ::StoumposDKD08 ::SinghL08 ::Legacy 
::4497513 ::Subspace ::using ::GeorgakopoulosHM96 
::Krishnapuram ::443 ::15310166abs ::Click 
::YinC05 ::Frequent ::BilkeN05 ::Krauthgamer 
::ReissRKZV08 ::914817 ::Quadtree ::HenrichSW89 
::22850518abs ::rules ::SteenhagenABB94 ::Extra 
::Kristian ::Times ::Air ::Koustuv 
::LawrenceB02 ::Yifeng ::McKenna ::Schiefer 
::BergD95 ::by ::Sakurai ::ZhangCMS97 
::Theoni ::CatarciCS94 ::Family ::Version 
::505 ::NodineZ90 ::Association ::Aggregates 
::Bassam ::Song ::15310176abs ::Buneman 
::Miss ::BhowmickP06 ::Wan ::Xiaojin 
::org ::Sharma ::791 ::Tsuyoshi 
::Alink ::2 ::PETRANET ::Reduction 
::Yossef ::GoldinK95 ::Barzan ::914869 
::Bitmap ::1588 ::17 ::Xuemin 
::Burns ::KitsuregawaO90 ::4497467 ::Ghaffar 
::Trombetta ::4497546 ::22850384abs ::Sensitive 
::Volumes ::296 ::Athena ::TheodoridisSS98 
::1467 ::4497544 ::Aaron ::BonifatiBCC02 
::Sarbanes ::TataFS06 ::Preference ::914858 
::icmcs ::Ahmed ::Ad ::Madden 
::Jianzhong ::Jigyasu ::Haibo ::DeFazio01 
::Graham ::Smodels ::LiuR05 ::tcs 
::Curves ::Shiyan ::StreamCorder ::485 
::Era ::Getting ::SmithC96 ::Ramamurthy 
::Chakravarthy ::FayyadPS96 ::Gunopulos ::Environment 
::Panayiotis ::Ullas ::1441 ::AbulBN08 
::Martin05 ::ChenJOT08 ::Ling ::He 
::KoutrikaSI06 ::EffelsbergH84 ::1572 ::P014 
::Sharoes ::Object ::KhoussainovaBS08 ::540 
::232 ::Reduction ::Bhattacharya ::Masaru 
::Systematic ::22850155abs ::Rinku ::Morzy93 
::IMPrECISE ::Kyuseok ::P259 ::Development 
::426 ::Jansen ::Korth ::Stephanie 
::Hanson87 ::LiuYT05 ::PageRank ::Pinto 
::22850372abs ::Active ::compgeom ::466 
::158 ::22850069abs ::15310716abs ::Georges 
::Raschid ::15310453 ::Streams ::PostgreSQL 
::914843 ::centric ::Baihua ::Interface 
::KitsuregawaTM83 ::Dayal ::4497586 ::Partitioning 
::1259 ::1510 ::ORDBMS ::Hanyu 
::Optimizations ::Freire ::Subset ::Manfred 
::Metric ::A ::Against ::338 
::1388 ::Low ::261 ::Ghafoor 
::ChenOR08 ::an ::588 ::Pierre 
::Webs ::Mudumbai ::Correlations ::Signal 
::Bar ::Burke ::535 ::4497427 
::1143 ::Hyong ::Sampling ::Gerald 
::Cichocki ::Simoudis98 ::RDMS ::BlottRS96 
::Photos ::Kanthi ::EdmundsMSS05 ::Yi 
::MONDRIAN ::Zadeh65 ::Chairs ::Bourhis 
::Sun ::Cloud ::Ann ::Boulakia 
::4497417 ::HuangSW94 ::GhandeharizadehHJ92 ::KoudasS97 
::icde2005 ::Renato ::AmmannJR97 ::Conditional 
::Adjourn ::Procopiuc ::Matrix ::Lijiang 
::tit ::22850578abs ::Klemens ::Designer 
::Surrounder ::Jae ::Rjaibi ::15310297abs 
::4497546 ::Histogram ::Duan ::Dmitri 
::HanMWS01 ::914848 ::MunakataJ94 ::1583 
::DayDIKG95 ::Zhewei ::4497592 ::Cheng 
::DennyF06 ::Schemes ::Detecting ::Anthony 
::Clio ::Habich ::15310706abs ::22850865abs 
::Bhm ::Rainer ::Product ::1500 
::ShivakumarG96 ::Cecilia ::Michalis ::Effect 
::Milena ::Blocks ::Karthikeyan ::Technique 
::WuAA02 ::Ranking ::IoannidisP95 ::73 
::1516 ::MarianAKS05 ::HaraHTN97 ::CammertKSV06 
::Molina83 ::Elena ::Takeshi ::195 
::Bases ::FranklinCL93 ::Unknown ::Ozcan 
::PrefixSpan ::Multiple ::Neel ::Terabyte 
::Hetal ::Subspaces ::TsangarisN91 ::Chiticariu 
::Warehouse ::ArbitraryWindows ::Rost ::Yiming 
::Chaudhary ::4497607 ::Tape ::15310166abs 
::Products ::Jagan ::804 ::Bonifati 
::Debugging ::anonymizing ::498 ::1073 
::BargaL01 ::Bogdan ::Krishnaswamy ::Aidong 
::GedikWY08 ::Shanmugasundaram ::GuoSBS05 ::MendelzonW95 
::Characterizing ::MartinGH08 ::Selectivity ::ChawatheG97 
::Warner ::22851145abs ::Nick ::Burst 
::Subbarao ::Yfoulis ::Bowman ::Transportation 
::Closure ::AstrahanBCEGGKLMMPTWW76 ::Kreher ::Ahmet 
::Wrapper ::WhangKW94 ::Hwang ::4497476 
::Settings ::Pointsets ::Yap ::BargaLW02 
::4497435 ::4497468 ::Gao ::Poulsen 
::Al ::Schek ::551 ::4497603 
::BlockeelCFGP08 ::Arshad ::DHT ::156 
::15310212abs ::Mittal ::Extensible ::by 
::Migration ::Georgakopoulos ::1950 ::Halpern 
::LeungNM02 ::BreitenederGT92 ::Bypass ::Map 
::Date90 ::Anastasios ::Dennis ::Remote 
::Discovering ::HornickZ87 ::sosp ::Christoph 
::DeWittG92 ::914839 ::GantiCM05 ::Aggregationin 
::Aameek ::Nagendra ::Amol ::Level 
::4497540 ::1571 ::Huajun ::Torp 
::TRMeister ::4497532 ::CasatiDS01 ::Provenance 
::Neoklis ::Locality ::Automatic ::Collaborative 
::Krishnaprasad ::Dongwon ::22850205abs ::GUI 
::Eduard ::22851036abs ::Liadan ::Hoyoung 
::Pedro ::NET96 ::814 ::68 
::Verify ::Tuzhilin ::Images ::4497616 
::Leong ::4497602 ::Unity ::Judice 
::Cyclic ::ChangSZS97 ::Manfred ::4497414 
::Masaaki ::267 ::GounarisYSD08 ::Gjergji 
::Stahl98 ::PolyviouSE05 ::Zahir ::Dasgupta 
::Vinayak ::Kanagal ::606 ::Pedro 
::90 ::SarawagiS96 ::1306 ::Govi 
::asplos ::FischerK05 ::CormodeKMW08 ::ShriraX05 
::Carsten ::140 ::Pfoser ::4497428 
::Dehne ::by ::OguchiK02 ::Rafiei 
::Cache ::Approach ::ShiZ05 ::or 
::Felber ::Expression ::Gnther ::Alink 
::Gawlick01 ::4497618 ::JagadishMR98 ::David 
::HillyerS96 ::Amr ::Devarakonda ::Cheung 
::Jasiobedzki ::Felix ::963 ::Jazayeri 
::Outsourced ::Shahan ::Wang ::22851141 
::BeeriR87 ::Weidong ::Yuqing ::1131 
::914849 ::Detecting ::Publishing ::Ramy 
::Spreadsheets ::Henrich98 ::398 ::AbiteboulCCMMS97 
::Miner ::1498 ::COLR ::465 
::Carson ::Hidden ::4497421 ::LeeMCC02 
::4497483 ::Singh ::Wlodek ::Tomkins 
::Kreher ::Databases ::Souripriya ::Rabinovich 
::Connectivity ::Match ::support ::544 
::Vetle ::548 ::Tam ::Tsukamoto 
::Samet ::SismanisR05 ::Colors ::NieWWM06 
::MaddenG08 ::1180 ::Rundensteiner ::Shao 
::192 ::Han ::KornackerB95 ::Diagnosing 
::WangHYYY06 ::269 ::Bhat ::22850828abs 
::Garret ::358 ::Approximated ::SQL 
::GoldbergR83 ::Among ::914838 ::Tryfona 
::Five ::ShahR08 ::Chengyu ::143 
::AikenCSW96 ::827 ::Collections ::ONeilG95 
::Jin ::sebd ::Relationships ::Chung 
::ChenH01 ::Specific ::Venkatasubramanian ::GutingS95 
::Ozcan ::Erich ::Association ::ElghandourAZCBBZ08 
::title ::KashaniS06 ::SheuW06 ::Shouxu 
